# Axial profile TIC nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 1.179949463E+02 2.369751621E+00 1.855146810E+03 3.030866717E+06 3.382920942E+03 1.547004962E+00 2.131738998E-01 2.745957820E-01 6.771721035E-03 4.017217303E-01 5.266785892E-02 4.173072795E-02
 1.230347947E+02 2.284824014E+00 1.883443337E+03 2.907942543E+06 3.371434354E+03 1.574263312E+00 2.123757112E-01 2.758510654E-01 6.741719398E-03 4.023860625E-01 5.210193757E-02 4.135215613E-02
 1.282258385E+02 2.201470830E+00 1.911203138E+03 2.789997818E+06 3.359089006E+03 1.601399501E+00 2.114481949E-01 2.773095517E-01 6.705705013E-03 4.031723271E-01 5.144952324E-02 4.089925753E-02
 1.335726137E+02 2.118356243E+00 1.939950885E+03 2.670549862E+06 3.346326594E+03 1.629702049E+00 2.104860822E-01 2.788223806E-01 6.670015583E-03 4.039517317E-01 5.079018808E-02 4.042854541E-02
 1.390797921E+02 2.037075706E+00 1.968004923E+03 2.556781174E+06 3.333835649E+03 1.657355096E+00 2.095689834E-01 2.802644259E-01 6.636309697E-03 4.046921074E-01 5.015975419E-02 3.998436821E-02
 1.447521858E+02 1.955993622E+00 1.997100312E+03 2.441675766E+06 3.320683113E+03 1.686403274E+00 2.085741834E-01 2.818285734E-01 6.599156955E-03 4.055038183E-01 4.947798800E-02 3.949661365E-02
 1.505947514E+02 1.876508633E+00 2.025761642E+03 2.331275126E+06 3.307434217E+03 1.715181436E+00 2.075711245E-01 2.834056599E-01 6.561603172E-03 4.063247523E-01 4.879036812E-02 3.900471704E-02
 1.566125940E+02 1.797894630E+00 2.055072165E+03 2.221458143E+06 3.294527218E+03 1.744583280E+00 2.066495541E-01 2.848546630E-01 6.528831348E-03 4.070507721E-01 4.816412443E-02 3.856232093E-02
 1.628109718E+02 1.720679447E+00 2.084426183E+03 2.114624334E+06 3.279517881E+03 1.774911407E+00 2.054096317E-01 2.868039018E-01 6.482866142E-03 4.080416234E-01 4.734171780E-02 3.793566728E-02
 1.691953009E+02 1.645015870E+00 2.113804941E+03 2.010933986E+06 3.267329376E+03 1.804366015E+00 2.046316572E-01 2.880271862E-01 6.457191265E-03 4.086274979E-01 4.681271606E-02 3.757934683E-02
